R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  5.211348    -0.60321    -2.09602     1.53370    -2.34828
  5.229828    -0.69682    -2.08532     1.10666    -2.35660
  5.248308    -0.77965    -2.18718     0.70434    -2.36313
  5.266788    -0.85273    -2.03392     0.59813    -2.33158
  5.285268    -0.91773    -1.91917     0.34254    -2.34995
  5.303748    -0.97667    -1.86563     0.18994    -2.38912
  5.322228    -1.03169    -1.72573    -0.03017    -2.39824
  5.340708    -1.08474    -1.53430    -0.41678    -2.40657
  5.359187    -1.13736    -1.28862    -0.78557    -2.41343
  5.377667    -1.19047    -1.32055    -1.07504    -2.38467
  5.396147    -1.24421    -1.34864    -0.95761    -2.39821
  5.414627    -1.29790    -1.07423    -1.13522    -2.43890
  5.433107    -1.35003    -0.97908    -1.34807    -2.44085
  5.451587    -1.39835    -0.88010    -1.54568    -2.40273
  5.470067    -1.44002    -0.85548    -1.73089    -2.45160
  5.488547    -1.47188    -0.79308    -1.79556    -2.45060
  5.507027    -1.49068    -0.87058    -1.79988    -2.38483
  5.525507    -1.49337    -1.00321    -1.85331    -2.38914
  5.543987    -1.47745    -0.75510    -1.78370    -2.39201
  5.562467    -1.44120    -0.77483    -1.89337    -2.25901
  5.580947    -1.38395    -0.78938    -2.10324    -2.20978
  5.599427    -1.30623    -0.42834    -2.15748    -2.23980
  5.617907    -1.20986     0.12938    -2.16735    -2.14067
  5.636387    -1.09798     0.22317    -2.31733    -1.87446
  5.654867    -0.97495     0.28180    -2.37819    -1.80047
  5.673347    -0.84618     0.21608    -2.37099    -1.78562
  5.691827    -0.71783     0.44066    -2.39869    -1.60319
  5.710307    -0.59654     0.38967    -2.44101    -1.81287
  5.728787    -0.48900     1.10508    -2.49527    -1.46703
  5.747267    -0.40162     1.84029    -2.53600    -1.42729
  5.765747    -0.34005     2.13705    -2.54764    -1.46560
  5.784226    -0.30887     1.85811    -2.53382    -0.96179
  5.802706    -0.31126     2.21180    -2.55203    -0.56004
  5.821186    -0.34877     1.62942    -2.55680    -0.28301
  5.839666    -0.42113     1.31294    -2.56430    -0.02614
  5.858146    -0.52623     1.30470    -2.56812     0.29895
  5.876626    -0.66018     0.69955    -2.58909     0.25358
  5.895106    -0.81744     0.35490    -2.60127     0.66677
  5.913586    -0.99110    -0.36840    -2.62994     1.27606
  5.932066    -1.17321    -0.43561    -2.57022     1.00538
  5.950546    -1.35514    -0.88673    -2.59358     0.94732
  5.969026    -1.52803    -1.32950    -2.53231     1.40276
  5.987506    -1.68324    -1.53562    -2.47873     1.24611
  6.005986    -1.81274    -1.87290    -2.34848     0.75472
  6.024466    -1.90951    -2.19577    -2.28319     1.23071
  6.042946    -1.96786    -2.17322    -2.22463     0.90722
  6.061426    -1.98364    -2.27574    -2.13475     0.67156
  6.079906    -1.95445    -2.35317    -1.70970    -0.08828
  6.098386    -1.87967    -2.45098    -1.21479     0.16783
  6.116866    -1.76042    -2.47926    -0.97015     0.23554
  6.135346    -1.59945    -2.33131    -0.81336     0.21177
